
time;gFx;gFy;gFz;Azimuth;Pitch;Roll;
31,735163;0,0743;0,3518;0,9499;202,0190;-20,2667;4,4705;
31,835875;0,0274;0,3029;0,9274;202,4203;-18,0829;1,6903;
31,936519;0,0665;0,3020;0,9802;201,0623;-17,0859;3,8785;
32,037130;0,0137;0,2990;1,0007;202,2849;-16,6363;0,7832;
32,138312;0,0098;0,2169;0,9743;200,7582;-12,2858;0,3433;
32,239001;-0,0156;0,1622;0,9391;201,5369;-9,7988;-0,9535;
32,339717;0,0831;0,1603;1,0466;200,0691;-8,5125;2,8597;
32,440647;0,0215;0,1319;1,0065;201,3918;-7,4648;1,2229;
32,540397;-0,0205;0,0459;0,9870;200,5814;-2,6643;-1,1917;
32,640765;0,0020;-0,0225;1,0056;200,7568;1,4069;-0,4495;
32,742911;-0,0059;-0,0713;1,0427;201,1364;3,9133;-0,3219;
32,843779;-0,0362;-0,1564;0,9225;200,2487;8,9599;-2,2141;
32,944326;-0,0244;-0,1612;0,9938;200,0656;9,2133;-1,4085;
33,046895;0,0381;-0,2990;0,9430;201,9229;17,5801;2,3143;
33,147376;-0,0127;-0,3420;0,9333;202,3373;19,4592;1,0092;
33,248166;-0,0029;-0,3831;0,9323;202,6407;22,7677;0,1841;
33,348621;-0,0811;-0,3880;0,9342;201,2664;22,4756;-4,9620;
33,448977;-0,1075;-0,4554;0,8922;202,9837;26,9392;-5,9215;
33,549897;-0,1134;-0,5130;0,8922;203,4081;29,7020;-7,2409;
33,650833;-0,0733;-0,4896;0,9069;204,7555;28,4088;-5,3048;
33,751611;-0,0987;-0,5707;0,8414;204,8590;33,9665;-6,6903;
33,852161;-0,0704;-0,6293;0,8052;206,1990;37,9039;-4,9938;
33,953435;-0,0782;-0,5922;0,8346;205,9652;34,6999;-4,8414;
34,054594;-0,0792;-0,6108;0,7925;205,0971;37,4824;-5,7037;
34,155855;-0,0049;-0,6499;0,7681;209,5728;40,2324;-0,3645;
34,256227;-0,0645;-0,6528;0,7710;207,9779;40,5687;-5,0818;
34,357789;-0,1368;-0,6987;0,7026;207,0452;43,8336;-10,6005;
34,458203;-0,1241;-0,6850;0,7925;208,4028;41,2318;-9,6661;
34,558644;-0,1437;-0,6469;0,7681;207,7739;39,6209;-10,5932;
34,659213;-0,0713;-0,7339;0,7104;211,0448;46,6442;-6,9088;
34,760047;-0,1622;-0,8170;0,6147;208,3074;51,4373;-15,9455;
34,860671;-0,2590;-0,6899;0,7671;204,5563;40,4349;-18,6534;
34,960958;-0,2629;-0,6772;0,7144;205,2855;41,1569;-19,7225;
35,062225;-0,3450;-0,5883;0,7544;201,8912;35,3438;-24,5720;
35,162574;-0,3049;-0,5385;0,7701;204,0231;33,3734;-21,5228;
35,262863;-0,3880;-0,4915;0,7925;202,4757;29,1198;-26,0827;
35,363408;-0,4476;-0,4358;0,8267;201,3102;24,8729;-28,4300;
35,464535;-0,4925;-0,3840;0,7808;200,1149;22,5882;-32,2440;
35,565787;-0,5570;-0,3948;0,7456;199,1459;22,9868;-36,7609;
35,666850;-0,5805;-0,2707;0,7730;197,3593;16,6140;-37,1507;
35,766529;-0,5727;-0,2453;0,8111;198,3305;13,8769;-35,2227;
35,868103;-0,5805;-0,1925;0,8091;199,0406;10,9414;-35,6557;
35,968615;-0,6000;-0,1173;0,8424;199,7369;6,7231;-36,6616;
36,069148;-0,6284;-0,0889;0,7730;199,3015;5,1013;-39,1075;
36,170093;-0,6264;0,0176;0,8326;197,0528;-0,4809;-37,9921;
36,271233;-0,7388;0,0342;0,7642;198,7482;-1,8428;-44,0318;
