time;gFx;gFy;gFz;Latitude;Longitude;Speed (m/s);Altitude (m);
20,209873;-0,2228;0,2062;0,4769;55,74807833;48,74305167;0,42104277;191,30000000;
20,310264;-0,1700;0,2922;1,0593;55,74807833;48,74305167;0,42104277;191,30000000;
20,410389;-0,0919;0,1456;1,7580;55,74807833;48,74305167;0,42104277;191,30000000;
20,511136;0,0586;0,0967;1,1697;55,74807667;48,74308000;0,43236667;191,30000000;
20,611399;0,1124;0,1046;0,7525;55,74807667;48,74308000;0,43236667;191,30000000;
20,711972;0,2472;0,2492;0,4613;55,74807667;48,74308000;0,43236667;191,30000000;
20,811858;0,6166;0,4016;0,9782;55,74807667;48,74308000;0,43236667;191,30000000;
20,912877;0,1476;0,2541;1,0486;55,74807667;48,74308000;0,43236667;191,30000000;
21,012850;0,4661;0,5267;0,8238;55,74807667;48,74308000;0,43236667;191,30000000;
21,113545;-0,0752;0,3225;0,4906;55,74807667;48,74308000;0,43236667;191,30000000;
21,213754;-0,1290;0,5248;0,6293;55,74807667;48,74308000;0,43236667;191,30000000;
21,313670;-0,3323;0,6020;0,8473;55,74807667;48,74308000;0,43236667;191,30000000;
21,415150;-0,0557;0,5629;1,1609;55,74807667;48,74308000;0,43236667;191,30000000;
21,516153;-0,0586;0,3450;0,8922;55,74808500;48,74309333;0,49464807;191,30000000;
21,618630;0,2296;0,3029;0,7691;55,74808500;48,74309333;0,49464807;191,30000000;
21,718792;0,2775;0,4026;0,4534;55,74808500;48,74309333;0,49464807;191,30000000;
21,818994;0,3567;0,4485;0,9127;55,74808500;48,74309333;0,49464807;191,30000000;
21,919985;0,4026;0,5717;0,8082;55,74808500;48,74309333;0,49464807;191,30000000;
22,021160;0,2639;0,4173;0,9420;55,74808500;48,74309333;0,49464807;191,30000000;
22,122161;0,1437;0,3586;0,5981;55,74808500;48,74309333;0,49464807;191,30000000;
22,221785;-0,1427;0,4681;0,6489;55,74808500;48,74309333;0,49464807;191,30000000;
22,322261;-0,2042;0,6039;0,9098;55,74808500;48,74309333;0,49464807;191,30000000;
22,422629;0,0655;0,3762;1,6066;55,74808500;48,74309333;0,49464807;191,30000000;
22,523148;0,0665;0,3518;1,0828;55,74809500;48,74310500;0,57031220;191,30000000;
22,624237;0,1222;0,3117;0,6459;55,74809500;48,74310500;0,57031220;191,30000000;
22,724750;0,2893;0,4046;0,4984;55,74809500;48,74310500;0,57031220;191,30000000;
22,825506;0,4505;0,3068;0,9147;55,74809500;48,74310500;0,57031220;191,30000000;
22,925834;0,1192;0,0645;1,3368;55,74809500;48,74310500;0,57031220;191,30000000;
23,026749;0,4163;0,3264;1,3652;55,74809500;48,74310500;0,57031220;191,30000000;
23,127358;-0,0733;0,2551;0,5961;55,74809500;48,74310500;0,57031220;191,30000000;
23,227621;-0,1564;0,3029;0,6919;55,74809500;48,74310500;0,57031220;191,30000000;
23,328044;-0,1603;0,2717;1,0075;55,74809500;48,74310500;0,57031220;191,30000000;
23,429166;-0,0166;0,2081;1,4561;55,74809500;48,74310500;0,57031220;191,30000000;
23,529686;-0,1505;0,0186;0,8209;55,74810833;48,74311500;0,63465250;191,30000000;
23,630244;0,1622;0,0694;0,9176;55,74810833;48,74311500;0,63465250;191,30000000;
23,730710;0,1378;0,1837;0,5619;55,74810833;48,74311500;0,63465250;191,30000000;
23,831310;0,4114;0,3801;0,7701;55,74810833;48,74311500;0,63465250;191,30000000;
23,932196;0,2248;0,3606;1,1062;55,74810833;48,74311500;0,63465250;191,30000000;
24,032704;0,1671;0,0596;1,3378;55,74810833;48,74311500;0,63465250;191,30000000;
24,132548;0,0528;-0,0186;0,9772;55,74810833;48,74311500;0,63465250;191,30000000;
24,233341;-0,3342;0,1280;0,5590;55,74810833;48,74311500;0,63465250;191,30000000;
24,335259;-0,1779;0,4593;0,8297;55,74810833;48,74311500;0,63465250;191,30000000;
24,434816;-0,1593;0,2766;1,5000;55,74810833;48,74311500;0,63465250;191,30000000;
24,535232;-0,1378;-0,0303;1,3447;55,74812000;48,74312333;0,70928723;191,30000000;
24,636216;0,2824;0,1339;1,0857;55,74812000;48,74312333;0,70928723;191,30000000;
24,736865;0,0528;0,1251;0,5844;55,74812000;48,74312333;0,70928723;191,30000000;
24,837726;0,3117;0,4183;0,5140;55,74812000;48,74312333;0,70928723;191,30000000;
24,938196;0,3626;0,1788;1,1248;55,74812000;48,74312333;0,70928723;191,30000000;
25,038633;0,0616;-0,0254;1,6799;55,74812000;48,74312333;0,70928723;191,30000000;
25,139002;0,5209;0,3049;0,8668;55,74812000;48,74312333;0,70928723;191,30000000;
25,239591;-0,2042;0,1466;0,4935;55,74812000;48,74312333;0,70928723;191,30000000;
25,339862;-0,1016;0,3762;0,6997;55,74812000;48,74312333;0,70928723;191,30000000;
25,440405;-0,2267;0,3293;1,0447;55,74812000;48,74312333;0,70928723;191,30000000;
25,540470;0,1495;0,0694;1,8890;55,74813000;48,74313333;0,78443664;191,30000000;
25,641194;0,0655;0,1896;0,9381;55,74813000;48,74313333;0,78443664;191,30000000;
25,741715;-0,0215;0,0528;0,7075;55,74813000;48,74313333;0,78443664;191,30000000;
25,841591;0,1954;0,2511;0,4603;55,74813000;48,74313333;0,78443664;191,30000000;
25,942255;0,4417;0,2805;0,9039;55,74813000;48,74313333;0,78443664;191,30000000;
26,043137;0,1681;0,0880;1,2079;55,74813000;48,74313333;0,78443664;191,30000000;
26,143603;0,2756;0,3391;1,0192;55,74813000;48,74313333;0,78443664;191,30000000;
26,244157;-0,0811;0,2609;0,6635;55,74813000;48,74313333;0,78443664;191,30000000;
26,344454;-0,0596;0,3342;0,7955;55,74813000;48,74313333;0,78443664;191,30000000;
26,444933;-0,0303;0,3459;0,9909;55,74813000;48,74313333;0,78443664;191,20000000;
26,545527;0,0792;0,0283;2,0317;55,74814167;48,74314167;0,84620333;191,20000000;
26,646225;0,4446;0,2023;1,2284;55,74814167;48,74314167;0,84620333;191,20000000;
26,747743;0,1368;0,1788;0,5521;55,74814167;48,74314167;0,84620333;191,20000000;
26,846921;0,3176;0,3362;0,5697;55,74814167;48,74314167;0,84620333;191,20000000;
26,947354;0,3792;0,2961;1,0339;55,74814167;48,74314167;0,84620333;191,20000000;
27,047986;-0,0713;0,2658;1,1189;55,74814167;48,74314167;0,84620333;191,20000000;
27,148164;0,2990;0,3244;1,0632;55,74814167;48,74314167;0,84620333;191,20000000;
27,248970;-0,0147;0,2941;0,4994;55,74814167;48,74314167;0,84620333;191,20000000;
27,349381;-0,1505;0,4798;0,5893;55,74814167;48,74314167;0,84620333;191,20000000;
27,449680;-0,2267;0,7671;0,9323;55,74814167;48,74314167;0,84620333;191,20000000;
27,550483;-0,2375;0,2580;1,0202;55,74815167;48,74315167;0,90488166;191,20000000;
27,651073;0,0752;0,1329;0,5433;55,74815167;48,74315167;0,90488166;191,20000000;
27,751599;0,2775;0,2502;0,4710;55,74815167;48,74315167;0,90488166;191,20000000;
27,852067;0,4915;0,2883;1,3075;55,74815167;48,74315167;0,90488166;191,20000000;
27,952537;0,1495;-0,0498;1,5821;55,74815167;48,74315167;0,90488166;191,20000000;
28,052620;0,3049;0,4339;1,0837;55,74815167;48,74315167;0,90488166;191,20000000;
28,153379;-0,2492;0,3215;0,4955;55,74815167;48,74315167;0,90488166;191,20000000;
28,254076;-0,2981;0,3782;1,1609;55,74815167;48,74315167;0,90488166;191,20000000;
28,354673;0,1349;0,3958;1,3818;55,74815167;48,74315167;0,90488166;191,20000000;
28,454957;0,2394;0,1984;1,0144;55,74815167;48,74315167;0,90488166;191,10000000;
28,555444;0,1134;0,1358;0,5287;55,74816167;48,74316333;0,93782389;191,10000000;
28,655646;0,2209;0,3401;0,5629;55,74816167;48,74316333;0,93782389;191,10000000;
28,756545;0,5287;0,4261;1,0808;55,74816167;48,74316333;0,93782389;191,10000000;
28,857011;0,2130;0,1554;1,5254;55,74816167;48,74316333;0,93782389;191,10000000;
28,957335;0,4476;0,4055;0,8033;55,74816167;48,74316333;0,93782389;191,10000000;
29,058449;-0,0567;0,3068;0,5678;55,74816167;48,74316333;0,93782389;191,10000000;
29,158589;-0,0713;0,5121;0,7144;55,74816167;48,74316333;0,93782389;191,10000000;
29,258386;-0,1661;0,4984;1,2772;55,74816167;48,74316333;0,93782389;191,10000000;
29,359048;0,1544;0,2091;1,5851;55,74816167;48,74316333;0,93782389;191,10000000;
29,459790;0,2668;0,2795;0,9704;55,74816167;48,74316333;0,93782389;191,20000000;
29,560491;0,0645;0,2414;0,6235;55,74816833;48,74317500;0,93061775;191,20000000;
29,660953;0,1808;0,4143;0,6391;55,74816833;48,74317500;0,93061775;191,20000000;
29,761663;0,3704;0,4183;1,1473;55,74816833;48,74317500;0,93061775;191,20000000;
29,862045;0,4065;0,1876;1,4512;55,74816833;48,74317500;0,93061775;191,20000000;
29,962554;0,5257;0,3938;0,7446;55,74816833;48,74317500;0,93061775;191,20000000;
30,063118;-0,0811;0,1974;0,5082;55,74816833;48,74317500;0,93061775;191,20000000;
30,163628;-0,0088;0,4661;0,5619;55,74816833;48,74317500;0,93061775;191,20000000;
30,264089;-0,0723;0,5531;1,2147;55,74816833;48,74317500;0,93061775;191,20000000;
30,367081;0,1016;0,3889;1,4101;55,74816833;48,74317500;0,93061775;191,20000000;
30,468262;0,2062;0,3586;1,0622;55,74816833;48,74317500;0,93061775;191,10000000;
30,568665;0,1593;0,2218;0,8463;55,74818167;48,74319167;0,93525028;191,10000000;
30,669614;0,1231;0,3469;0,3713;55,74818167;48,74319167;0,93525028;191,10000000;
30,769891;0,3352;0,5072;0,7104;55,74818167;48,74319167;0,93525028;191,10000000;
30,870239;0,4349;0,1075;1,1864;55,74818167;48,74319167;0,93525028;191,10000000;
30,970592;0,4652;0,2678;1,1688;55,74818167;48,74319167;0,93525028;191,10000000;
31,071239;0,1720;0,2316;0,7378;55,74818167;48,74319167;0,93525028;191,10000000;
31,171424;-0,0762;0,3733;0,4183;55,74818167;48,74319167;0,93525028;191,10000000;
31,272110;-0,1329;0,5179;0,7867;55,74818167;48,74319167;0,93525028;191,10000000;
31,372578;-0,1818;0,5590;1,2196;55,74818167;48,74319167;0,93525028;191,10000000;
31,473737;-0,0880;0,2511;1,3623;55,74818167;48,74319167;0,93525028;191,20000000;
31,574474;0,1261;0,1935;0,9743;55,74819333;48,74320500;0,92598528;191,20000000;
31,674018;0,1632;0,2756;0,6528;55,74819333;48,74320500;0,92598528;191,20000000;
31,775776;0,0870;0,4016;0,5981;55,74819333;48,74320500;0,92598528;191,20000000;
31,876218;0,3137;0,4192;1,0329;55,74819333;48,74320500;0,92598528;191,20000000;
31,976398;0,4290;0,3440;1,2127;55,74819333;48,74320500;0,92598528;191,20000000;
32,077317;0,3156;0,2922;0,8707;55,74819333;48,74320500;0,92598528;191,20000000;
32,177813;0,0967;0,2531;0,6714;55,74819333;48,74320500;0,92598528;191,20000000;
32,278688;-0,0088;0,3674;0,5042;55,74819333;48,74320500;0,92598528;191,20000000;
32,385726;0,0215;0,4827;0,8101;55,74819333;48,74320500;0,92598528;191,30000000;
32,479627;-0,0938;0,4691;1,2753;55,74820333;48,74322000;0,91466141;191,30000000;
32,580210;0,1202;0,2893;1,3368;55,74820333;48,74322000;0,91466141;191,30000000;
32,680089;0,1652;0,0557;1,0173;55,74820333;48,74322000;0,91466141;191,30000000;
32,781513;-0,0078;0,0381;0,6254;55,74820333;48,74322000;0,91466141;191,30000000;
